,El Rosario,Tacuba,Tacubaya,Mixcoac,Instituto del Petróleo,Guerrero,Hidalgo,Balderas,Centro Médico ,Zapata,Dep. 18 Marzo,La Raza,Garibaldi,Bellas Artes,Salto del Agua,Pino Suárez,Chabacano,Ermita,Martin Carrera,Consulado,Morelos,Candelaria,San Lázaro,Jamaica,Santa Anita,Atlalilco,Oceanía,Pantitlán
El Rosario,0,5264,0,0,5890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tacuba,5264,0,5843,0,0,0,4016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tacubaya,0,5843,0,2478,0,0,0,4479,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixcoac,0,0,2478,0,0,0,0,0,0,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instituto del Petróleo,5890,0,0,0,0,0,0,0,0,0,2333,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,0,0,0,0,0,0,702,0,0,0,0,2487,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidalgo,0,4016,0,0,0,702,0,910,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balderas,0,0,4479,0,0,0,910,0,1877,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0
Centro Médico ,0,0,3240,0,0,0,0,1877,0,3578,0,0,0,0,0,0,2059,0,0,0,0,0,0,0,0,0,0,0
Zapata,0,0,0,1826,0,0,0,0,3578,0,0,0,0,0,0,0,0,2738,0,0,0,0,0,0,0,0,0,0
Dep. 18 Marzo,0,0,0,0,2333,0,0,0,0,0,0,2072,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
La Raza,0,0,0,0,2042,2487,0,0,0,0,2072,0,0,0,0,0,0,0,0,2540,0,0,0,0,0,0,0,0
Garibaldi,0,0,0,0,0,757,0,0,0,0,0,0,0,634,0,0,0,0,0,0,1583,0,0,0,0,0,0,0
Bellas Artes,0,0,0,0,0,0,447,0,0,0,0,0,634,0,748,1734,0,0,0,0,0,0,0,0,0,0,0,0
Salto del Agua,0,0,0,0,0,0,0,458,0,0,0,0,0,748,0,827,2468,0,0,0,0,0,0,0,0,0,0,0
Pino Suárez,0,0,0,0,0,0,0,0,0,0,0,0,0,1734,827,0,1459,0,0,0,0,1443,0,0,0,0,0,0
Chabacano,0,0,0,0,0,0,0,0,2059,0,0,0,0,0,2468,1459,0,4384,0,0,0,0,0,1031,1476,0,0,0
Ermita,0,0,0,0,0,0,0,0,0,2738,0,0,0,0,0,0,4384,0,0,0,0,0,0,0,0,3727,0,0
Martin Carrera,0,0,0,0,0,0,0,0,0,0,1711,0,0,0,0,0,0,0,0,2733,0,0,0,0,0,0,0,0
Consulado,0,0,0,0,0,0,0,0,0,0,0,2540,0,0,0,0,0,0,4,0,1794,0,0,0,0,0,2894,0
Morelos,0,0,0,0,0,0,0,0,0,0,0,0,1583,0,0,0,0,0,0,1794,0,1062,1296,0,0,0,0,0
Candelaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443,0,0,0,0,1062,0,866,1666,0,0,0,0
San Lázaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,866,0,0,0,0,2624,4469
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,0,1666,0,0,758,0,0,5053
Santa Anita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,0,0,0,0,0,0,758,0,5932,0,0
Atlalilco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3727,0,0,0,0,0,0,5932,0,0,0
Oceanía,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1894,0,0,2624,0,0,0,0,3971
Pantitlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4469,5053,0,0,3971,0
